ASSETID;PRICE;UNITPRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_CASTELLANA;alq_mediana_eur_m2_barrio;dist_centro_educativo_m;dist_parque_m;dist_espacio_deporte_m;dist_centro_medico_m;delitos_per_10k_barrio;indice_vulnerabilidad
A2469032737660072864;130000.0;3823.52941176471;34;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;2007;0;2007;4;17;7;0;0;1;5.310269463664414;0.6189711691378124;1.2213352703126545;10.91061187006313;118.5;659.2;344.9;340.4;77.51;0.0087
A2469148274992773703;261000.0;1864.28571428571;140;3;2;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;4;1996;4;6;7;0;0;1;8.507514997162632;0.2806596266668089;6.525189837246794;8.380194914105621;217.7;144.0;203.3;41.9;120.64;0.0089
A2469427003146234942;181000.0;2262.5;80;3;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1953;1;1953;5;39;6;0;0;1;4.486901822978097;0.3071197275840638;2.919758001328435;9.142390229587019;216.6;517.0;123.1;316.9;75.58;0.0084
A2469809173105316146;249000.0;2736.26373626374;91;2;2;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;2003;7;2003;10;115;4;0;0;1;5.688315305268811;1.802243050133741;3.2238007788598613;7.367657754134646;53.6;147.3;259.0;724.4;64.2;0.0096
A2469858244287644532;276000.0;4451.61290322581;62;3;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;2;1950;6;21;5;0;1;0;0.7390594107838724;0.3460971838848051;1.017120074096589;13.296247223034015;107.1;468.3;262.3;477.2;247.55;0.0079
A2469870079859034841;122000.0;2259.25925925926;54;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;3;1970;3;7;6;0;1;0;5.341692899288849;0.26150517186926164;3.931344469890448;8.773060633604885;167.3;342.1;339.6;388.0;95.35;0.0084
A2470473219189322889;178000.0;1745.09803921569;102;3;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1991;5;1991;10;117;5;0;0;1;5.551163860487872;0.6591173550106257;2.599181803065646;7.617969087648705;313.3;814.3;139.6;616.2;85.41;0.0099
A2470629292030577588;376000.0;2805.97014925373;134;4;2;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1961;6;1961;15;32;6;0;1;0;2.397883342461527;1.039921127157116;3.1945817690107328;11.30408121352357;320.4;413.7;195.4;369.0;258.68;0.0066
A2470660409392821723;369000.0;2598.59154929578;142;4;2;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1991;3;1991;8;139;3;0;0;1;6.351919519657759;0.4699709048331444;5.07129181474175;8.773060633604885;384.3;541.8;378.5;164.1;95.35;0.0084
A247081783572037594;602000.0;4526.31578947368;133;2;2;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;;3;1956;8;31;4;0;0;1;3.3482002352297537;0.17553742046457171;1.8125044684847098;11.95832775394372;290.7;92.7;138.9;353.1;79.93;0.0062
