propertyCode,precio_anunciado,barrio_code,distrito_code,barrio_rescatado,sin_barrio,planta_imputada,ascensor_desde_descripcion,sin_descripcion,obra_nueva,fuera_de_rango,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,precio_estimado_2018,indice_venta,precio_estimado,factor_renta_mensual,renta_mensual_estimada,tipologia_casa,superficie_fuera_de_dominio,a_reformar,ocupada,fuera_de_dominio,distrito,alquiler_distrito_eur_m2_2026,anunciado / estimado
112480781,1900000.0,043,04,False,False,True,True,False,False,False,226.0,4,6,,1.8766123722225168,,0.0019512838033895418,,True,False,False,False,True,Salamanca,19.77461679945292,
112523989,198000.0,191,19,False,False,False,False,False,False,False,80.0,3,1,145265.42,2.2581962284331665,328037.8277998778,0.00280125738018172,918.9183861031879,False,False,False,False,False,Vicálvaro,11.870342778520444,0.603588925484507
112524281,1595000.0,083,08,False,False,False,False,False,False,False,260.0,4,5,871193.6,1.7429699856269538,1518464.3400445438,0.002544812508122545,3864.207045683401,False,False,False,False,False,Fuencarral-El Pardo,14.689461217858332,1.0504033304813802
112523803,260000.0,023,02,False,False,False,False,False,False,False,38.0,1,1,196707.81,1.7568265401631447,345581.50565743557,0.0026432108289031436,913.4447780223867,False,False,False,False,False,Arganzuela,17.153551573714722,0.7523550761357296
112524046,459000.0,146,14,False,False,False,False,False,False,False,93.0,3,2,255019.27,1.8348473926211004,467921.4346001791,0.002978326446711814,1393.6227836530459,False,False,False,False,False,Moratalaz,12.68696586656589,0.9809339048385289
112524145,475000.0,156,15,False,False,False,False,False,False,False,85.0,2,1,212321.19,1.7410339116420641,369658.38759761315,0.002871857299515261,1061.6061387492468,False,False,False,False,False,Ciudad Lineal,14.266652704537027,1.2849701668802795
112524048,1600000.0,051,05,False,False,False,False,False,False,False,154.0,3,2,,1.6700715368729793,,0.0023384882833218804,,False,False,True,False,True,Chamartín,18.388855162033455,
112523993,670000.0,011,01,False,False,False,False,False,False,False,80.0,2,1,383250.5,1.558745921449614,597390.1537685253,0.0025264030793100585,1509.2483240303118,False,False,False,False,False,Centro,18.93916135071505,1.1215451004229462
111442999,235000.0,124,12,False,False,False,False,False,False,False,56.0,2,1,122326.33,2.1163779954207427,258888.7491043675,0.0033276079654937316,861.4802636964015,False,False,False,False,False,Usera,12.133975348497685,0.9077258120060788
112523873,1190000.0,083,08,False,False,True,True,False,False,False,266.0,7,5,,1.7429699856269538,,0.002544812508122545,,True,False,False,False,True,Fuencarral-El Pardo,14.689461217858332,
112523845,780000.0,052,05,False,False,False,False,False,False,False,119.0,2,2,,1.6700715368729793,,0.0023384882833218804,,False,False,False,True,True,Chamartín,18.388855162033455,
112359577,200000.0,133,13,False,False,False,False,False,False,False,60.0,2,1,,1.9202233418203836,,0.0039677952095912425,,False,False,True,False,True,Puente de Vallecas,12.472694485501155,
112523819,980000.0,015,01,False,False,False,False,False,False,False,125.0,4,2,586242.6,1.558745921449614,913803.3006986656,0.0025264030793100585,2308.635472768804,False,False,False,False,False,Centro,18.93916135071505,1.0724408625474677
