fecha;cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;num_personas;num_personas_hombres;num_personas_mujeres
1 de enero de 2026;28079;Madrid;13; Puente de Vallecas;135;Portazgo;30.348;14.398;15.950
1 de enero de 2026;28079;Madrid;13; Puente de Vallecas;136;Numancia;51.578;24.834;26.744
1 de enero de 2026;28079;Madrid;14; Moratalaz;141;Pavones;9.111;4.191;4.920
1 de enero de 2026;28079;Madrid;14; Moratalaz;142;Horcajo;6.378;3.017;3.361
1 de enero de 2026;28079;Madrid;14; Moratalaz;143;Marroquina;26.140;12.016;14.124
1 de enero de 2026;28079;Madrid;14; Moratalaz;144;Media Legua;17.616;8.016;9.600
1 de enero de 2026;28079;Madrid;14; Moratalaz;145;Fontarrón;17.957;8.229;9.728
1 de enero de 2026;28079;Madrid;14; Moratalaz;146;Vinateros;17.203;7.663;9.540
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;151;Ventas;52.396;24.108;28.288
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;152;Pueblo Nuevo;65.545;30.576;34.969
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;153;Quintana;26.752;12.192;14.560
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;154;La Concepción;22.387;10.237;12.150
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;155;San Pascual;19.141;8.757;10.384
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;156;San Juan Bautista;13.235;6.200;7.035
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;157;Colina;6.812;3.065;3.747
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;158;Atalaya;1.690;722;968
1 de enero de 2026;28079;Madrid;15; Ciudad Lineal;159;Costillares;22.376;10.499;11.877
1 de enero de 2026;28079;Madrid;16; Hortaleza;161;Palomas;7.118;3.495;3.623
1 de enero de 2026;28079;Madrid;16; Hortaleza;162;Piovera;15.368;7.429;7.939
1 de enero de 2026;28079;Madrid;16; Hortaleza;163;Canillas;40.494;18.789;21.705
1 de enero de 2026;28079;Madrid;16; Hortaleza;164;Pinar del Rey;53.458;24.586;28.872
1 de enero de 2026;28079;Madrid;16; Hortaleza;165;Apóstol Santiago;15.702;7.452;8.250
1 de enero de 2026;28079;Madrid;16; Hortaleza;166;Valdefuentes;77.038;37.592;39.446
1 de enero de 2026;28079;Madrid;17; Villaverde;171;Villaverde Alto, Casco Histórico de Villaverde;51.913;25.012;26.901
