Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-06-01;0;CARABANCHEL;OPAÑEL;92;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-06-01;0;CHAMARTIN;CIUDAD JARDIN;112;1;ACTUACION DE SAMUR / SUMMA
2026-06-01;0;USERA;MOSCARDO;112;1;ACTUACION DE SAMUR / SUMMA
2026-06-01;0;ARGANZUELA;ACACIAS;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-06-01;0;CARABANCHEL;VISTA ALEGRE;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-06-01;0;USERA;MOSCARDO;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-06-01;0;CENTRO;SOL;92;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-06-01;0;VILLA DE VALLECAS;SANTA EUGENIA;92;1;ANOMALIAS EN VIA PUBLICA
2026-06-01;0;ARGANZUELA;ACACIAS;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-06-01;0;ARGANZUELA;LEGAZPI;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-06-01;0;CARABANCHEL;VISTA ALEGRE;92;2;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-06-01;0;CIUDAD LINEAL;LA CONCEPCION;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-06-01;0;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-06-01;0;ARGANZUELA;PALOS DE LA FRONTERA;92;1;INFORMACION AL CIUDADANO
2026-06-01;0;FUENCARRAL - EL PARDO;VALVERDE;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-06-01;0;LATINA;PUERTA DEL ANGEL;92;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-06-01;0;SALAMANCA;GUINDALERA;92;1;LLAMADA ERRONEA
2026-06-01;0;CENTRO;PALACIO;92;1;NORMAS DE CONVIVENCIA
2026-06-01;0;PUENTE DE VALLECAS;SAN DIEGO;112;1;OTROS DELITOS...
2026-06-01;0;CENTRO;EMBAJADORES;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-06-01;0;SAN BLAS - CANILLEJAS;HELLIN;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-06-01;0;CARABANCHEL;ABRANTES;92;1;RUIDOS MOLESTOS
2026-06-01;0;CENTRO;EMBAJADORES;92;2;RUIDOS MOLESTOS
2026-06-01;0;CIUDAD LINEAL;VENTAS;92;1;RUIDOS MOLESTOS
2026-06-01;0;FUENCARRAL - EL PARDO;PILAR;92;1;RUIDOS MOLESTOS
