Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripción tipo de apertura
2026-03-01;04;CARABANCHEL;COMILLAS;112;2;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;04;TETUÁN;CASTILLEJOS;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;04;VILLA DE VALLECAS;BELLAS VISTAS;RADIO;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;11;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;092;2;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;11;VICÁLVARO;CIUDAD UNIVERSITARIA;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;11;MONCLOA - ARAVACA;EL CAÑAVERAL;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;12;VICÁLVARO;CIUDAD UNIVERSITARIA;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;14;TETUÁN;CIUDAD UNIVERSITARIA;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;14;CIUDAD LINEAL;EMBAJADORES;RADIO;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;14;HORTALEZA;CASCO HISTORICO DE VICALVARO;RADIO;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;16;CARABANCHEL;ALMENARA;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;17;VICÁLVARO;CORTES;RADIO;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;18;LATINA;SAN JUAN BAUTISTA;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
2026-03-01;19;LATINA;VALDEFUENTES;112;1;ACCIDENTE DE TRAFICO CON HERIDOS-VICTIMAS
