Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-05-01;0;SALAMANCA;GUINDALERA;92;2;RUIDOS MOLESTOS
2026-05-01;0;SALAMANCA;LISTA;92;2;RUIDOS MOLESTOS
2026-05-01;0;SAN BLAS - CANILLEJAS;ARCOS;92;2;RUIDOS MOLESTOS
2026-05-01;0;HORTALEZA;VALDEFUENTES;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;LATINA;ALUCHE;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;MORATALAZ;MARROQUINA;92;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;0;CENTRO;PALACIO;112;1;ACCIDENTES LABORALES
2026-05-01;0;CHAMBERI;VALLEHERMOSO;92;1;ACTUACION DE BOMBEROS
2026-05-01;0;CHAMBERI;VALLEHERMOSO;112;1;ACTUACION DE BOMBEROS
2026-05-01;0;CIUDAD LINEAL;COSTILLARES;112;1;ACTUACION DE BOMBEROS
2026-05-01;0;CENTRO;EMBAJADORES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;FUENCARRAL - EL PARDO;PILAR;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;LATINA;AGUILAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;ARGANZUELA;ACACIAS;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;CARABANCHEL;SAN ISIDRO;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;CENTRO;CORTES;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;LATINA;ALUCHE;92;2;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;ARGANZUELA;PALOS DE LA FRONTERA;112;1;HURTOS
2026-05-01;0;ARGANZUELA;LEGAZPI;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;CHAMBERI;ARAPILES;92;2;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;SAN BLAS - CANILLEJAS;CANILLEJAS;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;0;Desconocido;Desconocido;112;1;NORMAS DE CONVIVENCIA
2026-05-01;0;CARABANCHEL;OPAÑEL;112;1;NORMAS DE CONVIVENCIA
2026-05-01;0;FUENCARRAL - EL PARDO;VALVERDE;92;1;NORMAS DE CONVIVENCIA
2026-05-01;0;MORATALAZ;PAVONES;112;1;NORMAS DE CONVIVENCIA
2026-05-01;0;LATINA;ALUCHE;112;1;OTROS DELITOS...
2026-05-01;0;RETIRO;LOS JERONIMOS;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;USERA;SAN FERMIN;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;CARABANCHEL;ABRANTES;92;1;RUIDOS MOLESTOS
2026-05-01;0;CARABANCHEL;BUENAVISTA;92;1;RUIDOS MOLESTOS
2026-05-01;0;CENTRO;EMBAJADORES;92;2;RUIDOS MOLESTOS
2026-05-01;0;LATINA;AGUILAS;92;1;RUIDOS MOLESTOS
2026-05-01;0;PUENTE DE VALLECAS;PORTAZGO;92;1;RUIDOS MOLESTOS
2026-05-01;0;SALAMANCA;CASTELLANA;92;1;RUIDOS MOLESTOS
2026-05-01;0;SALAMANCA;GOYA;92;1;RUIDOS MOLESTOS
2026-05-01;0;USERA;ALMENDRALES;92;1;RUIDOS MOLESTOS
2026-05-01;0;USERA;ORCASITAS;92;2;RUIDOS MOLESTOS
2026-05-01;0;VICALVARO;VALDERRIVAS;92;1;RUIDOS MOLESTOS
2026-05-01;0;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;92;1;RUIDOS MOLESTOS
2026-05-01;0;HORTALEZA;CANILLAS;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;MONCLOA - ARAVACA;ARGÜELLES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;112;2;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;MORATALAZ;MEDIA LEGUA;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;TETUAN;CASTILLEJOS;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;0;FUENCARRAL - EL PARDO;LA PAZ;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;0;FUENCARRAL - EL PARDO;VALVERDE;92;1;ANOMALIAS EN VIA PUBLICA
2026-05-01;0;CARABANCHEL;BUENAVISTA;92;2;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;CIUDAD LINEAL;COLINA;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;0;SALAMANCA;GUINDALERA;92;4;INFORMACION AL CIUDADANO
2026-05-01;0;CHAMARTIN;CASTILLA;92;1;NORMAS DE CONVIVENCIA
2026-05-01;0;CARABANCHEL;ABRANTES;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;LATINA;ALUCHE;92;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;0;SAN BLAS - CANILLEJAS;CANILLEJAS;112;2;REYERTAS / AGRESIONES
2026-05-01;0;ARGANZUELA;PALOS DE LA FRONTERA;112;1;ROBOS CON FUERZA
2026-05-01;0;CARABANCHEL;SAN ISIDRO;92;1;RUIDOS MOLESTOS
2026-05-01;0;CENTRO;SOL;92;2;RUIDOS MOLESTOS
2026-05-01;0;CHAMBERI;ARAPILES;92;2;RUIDOS MOLESTOS
2026-05-01;0;CHAMBERI;GAZTAMBIDE;92;1;RUIDOS MOLESTOS
2026-05-01;0;CIUDAD LINEAL;VENTAS;92;3;RUIDOS MOLESTOS
2026-05-01;0;HORTALEZA;PIOVERA;92;1;RUIDOS MOLESTOS
2026-05-01;0;RETIRO;ESTRELLA;92;1;RUIDOS MOLESTOS
2026-05-01;0;SALAMANCA;FUENTE DEL BERRO;92;1;RUIDOS MOLESTOS
2026-05-01;0;VICALVARO;EL CAÑAVERAL;92;1;RUIDOS MOLESTOS
2026-05-01;0;VILLAVERDE;ANGELES;92;2;RUIDOS MOLESTOS
2026-05-01;0;CARABANCHEL;PUERTA BONITA;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-05-01;0;USERA;ORCASUR;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-05-01;1;CENTRO;CORTES;RADIO;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;1;SAN BLAS - CANILLEJAS;SIMANCAS;112;1;ACCIDENTES LABORALES
2026-05-01;1;ARGANZUELA;DELICIAS;112;1;ACTUACION DE BOMBEROS
2026-05-01;1;CENTRO;EMBAJADORES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;CIUDAD LINEAL;COSTILLARES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;MONCLOA - ARAVACA;ARGÜELLES;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;TETUAN;BERRUGUETE;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;MORATALAZ;MARROQUINA;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;CARABANCHEL;PUERTA BONITA;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;CHAMBERI;GAZTAMBIDE;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;CHAMBERI;VALLEHERMOSO;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;SALAMANCA;GUINDALERA;92;1;INFORMACION AL CIUDADANO
2026-05-01;1;CIUDAD LINEAL;COSTILLARES;92;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-05-01;1;SALAMANCA;GUINDALERA;92;1;LLAMADA ERRONEA
2026-05-01;1;SALAMANCA;LISTA;92;1;NORMAS DE CONVIVENCIA
2026-05-01;1;SALAMANCA;GUINDALERA;112;1;OTROS DELITOS...
2026-05-01;1;MONCLOA - ARAVACA;CASA DE CAMPO;RADIO;1;REYERTAS / AGRESIONES
2026-05-01;1;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;92;1;REYERTAS / AGRESIONES
2026-05-01;1;CARABANCHEL;PUERTA BONITA;92;1;RUIDOS MOLESTOS
2026-05-01;1;CARABANCHEL;SAN ISIDRO;92;2;RUIDOS MOLESTOS
2026-05-01;1;CENTRO;JUSTICIA;92;1;RUIDOS MOLESTOS
2026-05-01;1;CHAMBERI;GAZTAMBIDE;92;1;RUIDOS MOLESTOS
2026-05-01;1;SAN BLAS - CANILLEJAS;CANILLEJAS;92;1;RUIDOS MOLESTOS
2026-05-01;1;MORATALAZ;VINATEROS;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;MONCLOA - ARAVACA;EL PLANTIO;112;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;TETUAN;CASTILLEJOS;92;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-05-01;1;CENTRO;SOL;112;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-05-01;1;PUENTE DE VALLECAS;SAN DIEGO;112;1;ALTERACIONES DE TRAFICO Y MOVILIDAD
2026-05-01;1;CARABANCHEL;SAN ISIDRO;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;CHAMARTIN;HISPANOAMERICA;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;FUENCARRAL - EL PARDO;PEÑAGRANDE;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;LATINA;PUERTA DEL ANGEL;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;PUENTE DE VALLECAS;PALOMERAS BAJAS;92;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-05-01;1;PUENTE DE VALLECAS;SAN DIEGO;112;1;HURTOS
2026-05-01;1;PUENTE DE VALLECAS;PALOMERAS BAJAS;92;1;NORMAS DE CONVIVENCIA
2026-05-01;1;BARAJAS;TIMON;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;RETIRO;PACIFICO;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;TETUAN;ALMENARA;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;TETUAN;CUATRO CAMINOS;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-05-01;1;SALAMANCA;GUINDALERA;112;1;REYERTAS / AGRESIONES
2026-05-01;1;ARGANZUELA;DELICIAS;92;2;RUIDOS MOLESTOS
2026-05-01;1;CARABANCHEL;ABRANTES;92;1;RUIDOS MOLESTOS
2026-05-01;1;CHAMARTIN;CASTILLA;92;1;RUIDOS MOLESTOS
2026-05-01;1;MONCLOA - ARAVACA;ARAVACA;92;2;RUIDOS MOLESTOS
2026-05-01;1;VILLAVERDE;LOS ROSALES;92;1;RUIDOS MOLESTOS
2026-05-01;1;CENTRO;SOL;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;1;FUENCARRAL - EL PARDO;VALVERDE;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
2026-05-01;1;BARAJAS;ALAMEDA DE OSUNA;112;1;ACTUACION DE BOMBEROS
2026-05-01;1;CHAMARTIN;CIUDAD JARDIN;112;1;ACTUACION DE BOMBEROS
2026-05-01;1;CARABANCHEL;VISTA ALEGRE;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;CENTRO;PALACIO;112;1;ACTUACION DE SAMUR / SUMMA
2026-05-01;1;FUENCARRAL - EL PARDO;PEÑAGRANDE;112;1;ACTUACION DE SAMUR / SUMMA
