Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripción tipo de apertura
2026-01-01;00;CARABANCHEL;ABRANTES;092;2;RUIDOS MOLESTOS
2026-01-01;00;CARABANCHEL;BUENAVISTA;092;1;RUIDOS MOLESTOS
2026-01-01;00;CARABANCHEL;COMILLAS;092;1;RUIDOS MOLESTOS
2026-01-01;00;CARABANCHEL;SAN ISIDRO;092;1;RUIDOS MOLESTOS
2026-01-01;00;CENTRO;EMBAJADORES;092;1;RUIDOS MOLESTOS
2026-01-01;00;CENTRO;JUSTICIA;092;1;RUIDOS MOLESTOS
2026-01-01;00;CENTRO;JUSTICIA;112;1;RUIDOS MOLESTOS
2026-01-01;00;CHAMBERI;ARAPILES;092;1;RUIDOS MOLESTOS
2026-01-01;00;CHAMBERI;GAZTAMBIDE;092;1;RUIDOS MOLESTOS
2026-01-01;00;CIUDAD LINEAL;LA CONCEPCION;092;1;RUIDOS MOLESTOS
2026-01-01;00;CIUDAD LINEAL;QUINTANA;092;2;RUIDOS MOLESTOS
2026-01-01;00;FUENCARRAL - EL PARDO;PEÑAGRANDE;092;1;RUIDOS MOLESTOS
2026-01-01;00;FUENCARRAL - EL PARDO;VALVERDE;092;1;RUIDOS MOLESTOS
2026-01-01;00;HORTALEZA;CANILLAS;092;1;RUIDOS MOLESTOS
2026-01-01;00;HORTALEZA;PINAR DEL REY;092;1;RUIDOS MOLESTOS
2026-01-01;00;LATINA;ALUCHE;092;1;RUIDOS MOLESTOS
2026-01-01;00;LATINA;CUATRO VIENTOS;092;1;RUIDOS MOLESTOS
2026-01-01;00;LATINA;LUCERO;092;1;RUIDOS MOLESTOS
2026-01-01;00;MONCLOA - ARAVACA;EL PLANTIO;092;1;RUIDOS MOLESTOS
2026-01-01;00;MORATALAZ;HORCAJO;092;1;RUIDOS MOLESTOS
2026-01-01;00;PUENTE DE VALLECAS;PORTAZGO;092;1;RUIDOS MOLESTOS
2026-01-01;00;SALAMANCA;GOYA;092;1;RUIDOS MOLESTOS
2026-01-01;00;SALAMANCA;GUINDALERA;092;1;RUIDOS MOLESTOS
2026-01-01;00;SAN BLAS - CANILLEJAS;ARCOS;092;1;RUIDOS MOLESTOS
2026-01-01;00;SAN BLAS - CANILLEJAS;CANILLEJAS;092;2;RUIDOS MOLESTOS
2026-01-01;00;SAN BLAS - CANILLEJAS;HELLIN;092;1;RUIDOS MOLESTOS
2026-01-01;00;SAN BLAS - CANILLEJAS;SIMANCAS;092;1;RUIDOS MOLESTOS
2026-01-01;00;TETUAN;ALMENARA;092;2;RUIDOS MOLESTOS
2026-01-01;00;TETUAN;BELLAS VISTAS;092;3;RUIDOS MOLESTOS
2026-01-01;00;TETUAN;BERRUGUETE;092;1;RUIDOS MOLESTOS
2026-01-01;00;USERA;ZOFIO;092;1;RUIDOS MOLESTOS
2026-01-01;00;VICALVARO;EL CAÑAVERAL;092;1;RUIDOS MOLESTOS
2026-01-01;00;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;092;1;RUIDOS MOLESTOS
2026-01-01;00;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;092;2;RUIDOS MOLESTOS
2026-01-01;00;VILLAVERDE;ANGELES;092;2;RUIDOS MOLESTOS
2026-01-01;00;VILLAVERDE;LOS ROSALES;092;1;RUIDOS MOLESTOS
2026-01-01;00;VILLAVERDE;SAN CRISTOBAL;092;1;RUIDOS MOLESTOS
2026-01-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;092;1;RUIDOS MOLESTOS
2026-01-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;1;RUIDOS MOLESTOS
2026-01-01;00;BARAJAS;CASCO HISTORICO DE BARAJAS;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;CARABANCHEL;BUENAVISTA;092;2;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;CARABANCHEL;COMILLAS;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;CIUDAD LINEAL;LA CONCEPCION;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;CIUDAD LINEAL;PUEBLO NUEVO;092;2;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;FUENCARRAL - EL PARDO;EL PARDO;092;2;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;HORTALEZA;PIOVERA;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;LATINA;LUCERO;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;PUENTE DE VALLECAS;ENTREVIAS;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;SAN BLAS - CANILLEJAS;REJAS;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;USERA;PRADOLONGO;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;VICALVARO;EL CAÑAVERAL;092;1;INFRACCION A OTRAS OOMM Y NORMAS
2026-01-01;00;CARABANCHEL;PUERTA BONITA;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CARABANCHEL;SAN ISIDRO;092;2;NORMAS DE CONVIVENCIA
2026-01-01;00;CARABANCHEL;VISTA ALEGRE;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CHAMARTIN;CIUDAD JARDIN;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CHAMBERI;TRAFALGAR;092;2;NORMAS DE CONVIVENCIA
2026-01-01;00;CIUDAD LINEAL;LA CONCEPCION;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CIUDAD LINEAL;PUEBLO NUEVO;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CIUDAD LINEAL;SAN PASCUAL;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;CIUDAD LINEAL;VENTAS;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;FUENCARRAL - EL PARDO;LA PAZ;092;1;NORMAS DE CONVIVENCIA
2026-01-01;00;FUENCARRAL - EL PARDO;PEÑAGRANDE;092;1;NORMAS DE CONVIVENCIA
