Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-02-01;00;FUENCARRAL - EL PARDO;EL PARDO;112;1;ACTUACION DE BOMBEROS
2026-02-01;00;CARABANCHEL;OPAÑEL;112;2;ACTUACION DE SAMUR / SUMMA
2026-02-01;00;CHAMBERI;TRAFALGAR;112;1;ACTUACION DE SAMUR / SUMMA
2026-02-01;00;MONCLOA - ARAVACA;CASA DE CAMPO;112;1;ACTUACION DE SAMUR / SUMMA
2026-02-01;00;SAN BLAS - CANILLEJAS;REJAS;092;1;ACTUACION DE SAMUR / SUMMA
2026-02-01;00;TETUAN;CASTILLEJOS;112;1;ACTUACION DE SAMUR / SUMMA
2026-02-01;00;CENTRO;UNIVERSIDAD;092;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-02-01;00;CHAMBERI;VALLEHERMOSO;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-02-01;00;SALAMANCA;GUINDALERA;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-02-01;00;SALAMANCA;GUINDALERA;092;4;INFORMACION AL CIUDADANO
2026-02-01;00;CENTRO;JUSTICIA;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-02-01;00;PUENTE DE VALLECAS;NUMANCIA;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-02-01;00;PUENTE DE VALLECAS;SAN DIEGO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-02-01;00;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-02-01;00;CHAMARTIN;CASTILLA;092;1;NORMAS DE CONVIVENCIA
2026-02-01;00;CHAMARTIN;CASTILLA;112;1;NORMAS DE CONVIVENCIA
2026-02-01;00;CENTRO;SOL;112;1;OTROS DELITOS...
2026-02-01;00;PUENTE DE VALLECAS;NUMANCIA;112;1;OTROS DELITOS...
2026-02-01;00;CARABANCHEL;SAN ISIDRO;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-02-01;00;CHAMBERI;ARAPILES;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-02-01;00;CARABANCHEL;BUENAVISTA;112;1;REYERTAS / AGRESIONES
2026-02-01;00;CARABANCHEL;PUERTA BONITA;112;1;REYERTAS / AGRESIONES
2026-02-01;00;CENTRO;CORTES;112;1;REYERTAS / AGRESIONES
2026-02-01;00;CENTRO;EMBAJADORES;092;1;REYERTAS / AGRESIONES
2026-02-01;00;MONCLOA - ARAVACA;VALDEZARZA;112;1;REYERTAS / AGRESIONES
2026-02-01;00;PUENTE DE VALLECAS;PORTAZGO;112;1;REYERTAS / AGRESIONES
2026-02-01;00;TETUAN;BERRUGUETE;112;1;REYERTAS / AGRESIONES
2026-02-01;00;CARABANCHEL;COMILLAS;092;1;RUIDOS MOLESTOS
2026-02-01;00;CIUDAD LINEAL;VENTAS;092;1;RUIDOS MOLESTOS
2026-02-01;00;FUENCARRAL - EL PARDO;PILAR;092;1;RUIDOS MOLESTOS
2026-02-01;00;PUENTE DE VALLECAS;ENTREVIAS;092;1;RUIDOS MOLESTOS
2026-02-01;00;RETIRO;IBIZA;092;1;RUIDOS MOLESTOS
2026-02-01;00;TETUAN;VALDEACEDERAS;092;2;RUIDOS MOLESTOS
2026-02-01;00;USERA;MOSCARDO;092;1;RUIDOS MOLESTOS
2026-02-01;00;VILLAVERDE;ANGELES;092;1;RUIDOS MOLESTOS
2026-02-01;00;SALAMANCA;RECOLETOS;112;1;SEGURIDAD: COLABRACION CON OTROS CUERPOS O SERVICIOS
2026-02-01;00;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-02-01;00;USERA;ORCASITAS;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-02-01;00;CIUDAD LINEAL;COSTILLARES;112;1;ACCIDENTE DE TRAFICO SIN HERIDOS
