Día de creación;Hora de creación;Distrito;Barrio;Origen;Incidentes;Descripcíon tipo de apertura
2026-04-01;00;CIUDAD LINEAL;SAN PASCUAL;112;1;ACTUACION DE BOMBEROS
2026-04-01;00;VICALVARO;CASCO HISTORICO DE VICALVARO;092;1;ANOMALIAS EN VIA PUBLICA
2026-04-01;00;CIUDAD LINEAL;PUEBLO NUEVO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-04-01;00;CARABANCHEL;PUERTA BONITA;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;CHAMARTIN;PROSPERIDAD;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;LATINA;ALUCHE;092;1;ROBOS CON FUERZA
2026-04-01;00;CARABANCHEL;COMILLAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;CIUDAD LINEAL;VENTAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;PUENTE DE VALLECAS;PALOMERAS BAJAS;112;1;RUIDOS MOLESTOS
2026-04-01;00;SAN BLAS - CANILLEJAS;CANILLEJAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;CARABANCHEL;ABRANTES;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;00;CIUDAD LINEAL;LA CONCEPCION;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;00;CIUDAD LINEAL;LA CONCEPCION;CISEM;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;00;USERA;ZOFIO;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;00;CHAMARTIN;NUEVA ESPAÑA;112;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;00;CARABANCHEL;BUENAVISTA;112;1;OTROS DELITOS...
2026-04-01;00;RETIRO;ESTRELLA;092;1;OTROS DELITOS...
2026-04-01;00;SAN BLAS - CANILLEJAS;REJAS;092;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;ARGANZUELA;PALOS DE LA FRONTERA;112;1;REYERTAS / AGRESIONES
2026-04-01;00;SAN BLAS - CANILLEJAS;ARCOS;112;1;ROBOS CON FUERZA
2026-04-01;00;ARGANZUELA;ACACIAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;ARGANZUELA;LEGAZPI;092;1;RUIDOS MOLESTOS
2026-04-01;00;CENTRO;EMBAJADORES;092;1;RUIDOS MOLESTOS
2026-04-01;00;CHAMARTIN;CIUDAD JARDIN;092;1;RUIDOS MOLESTOS
2026-04-01;00;HORTALEZA;PALOMAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;USERA;ALMENDRALES;092;1;RUIDOS MOLESTOS
2026-04-01;00;VILLA DE VALLECAS;CASCO HISTORICO DE VALLECAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;CARABANCHEL;ABRANTES;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;00;FUENCARRAL - EL PARDO;LA PAZ;092;1;ACTUACION DE BOMBEROS
2026-04-01;00;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;NORMAS DE CONVIVENCIA
2026-04-01;00;VILLAVERDE;ANGELES;092;1;NORMAS DE CONVIVENCIA
2026-04-01;00;ARGANZUELA;ACACIAS;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;CENTRO;JUSTICIA;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;CARABANCHEL;OPAÑEL;112;1;REYERTAS / AGRESIONES
2026-04-01;00;FUENCARRAL - EL PARDO;LA PAZ;112;1;REYERTAS / AGRESIONES
2026-04-01;00;PUENTE DE VALLECAS;PALOMERAS SURESTE;092;1;RUIDOS MOLESTOS
2026-04-01;00;SAN BLAS - CANILLEJAS;SIMANCAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;USERA;MOSCARDO;RADIO;1;SEG.VIAL: COLABORACION EN MATERIA DE TRAFICO Y MOVILIDAD
2026-04-01;00;RETIRO;ESTRELLA;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;00;HORTALEZA;PINAR DEL REY;112;1;ACTUACION DE BOMBEROS
2026-04-01;00;SALAMANCA;GOYA;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;00;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;OTROS DELITOS...
2026-04-01;00;CENTRO;EMBAJADORES;092;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;00;SALAMANCA;FUENTE DEL BERRO;092;1;REYERTAS / AGRESIONES
2026-04-01;00;CARABANCHEL;VISTA ALEGRE;092;1;RUIDOS MOLESTOS
2026-04-01;00;CHAMARTIN;CASTILLA;092;1;RUIDOS MOLESTOS
2026-04-01;00;CHAMBERI;ARAPILES;092;1;RUIDOS MOLESTOS
2026-04-01;00;MORATALAZ;MEDIA LEGUA;092;1;RUIDOS MOLESTOS
2026-04-01;00;PUENTE DE VALLECAS;ENTREVIAS;092;1;RUIDOS MOLESTOS
2026-04-01;00;SAN BLAS - CANILLEJAS;AMPOSTA;092;1;RUIDOS MOLESTOS
2026-04-01;00;VILLAVERDE;BUTARQUE;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;01;MONCLOA - ARAVACA;CASA DE CAMPO;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-04-01;01;USERA;SAN FERMIN;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-04-01;01;CARABANCHEL;VISTA ALEGRE;092;1;NOTA INFORMATIVA
2026-04-01;01;CHAMBERI;RIOS ROSAS;RADIO;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;01;HORTALEZA;VALDEFUENTES;092;1;RUIDOS MOLESTOS
2026-04-01;01;CENTRO;EMBAJADORES;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;01;CENTRO;PALACIO;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;01;USERA;ORCASUR;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;01;PUENTE DE VALLECAS;PALOMERAS BAJAS;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;01;VILLAVERDE;SAN CRISTOBAL;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;01;CARABANCHEL;OPAÑEL;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;01;RETIRO;LOS JERONIMOS;112;1;ROBOS CON VIOLENCIA / INTIMIDACION
2026-04-01;01;SALAMANCA;LISTA;092;1;RUIDOS MOLESTOS
2026-04-01;01;SAN BLAS - CANILLEJAS;ARCOS;092;1;RUIDOS MOLESTOS
2026-04-01;01;SAN BLAS - CANILLEJAS;SIMANCAS;092;1;RUIDOS MOLESTOS
2026-04-01;01;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;092;1;RUIDOS MOLESTOS
2026-04-01;01;FUENCARRAL - EL PARDO;VALVERDE;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-04-01;01;CENTRO;CORTES;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;01;CENTRO;EMBAJADORES;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;01;SAN BLAS - CANILLEJAS;SIMANCAS;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;01;VICALVARO;VALDEBERNARDO;092;1;CONSUMO ALCOHOL/DROGAS EN VIA PUBLICA
2026-04-01;01;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;112;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-04-01;01;CENTRO;SOL;092;1;NORMAS DE CONVIVENCIA
2026-04-01;01;CARABANCHEL;VISTA ALEGRE;112;1;NOTA INFORMATIVA
2026-04-01;01;VILLAVERDE;SAN CRISTOBAL;112;1;OTROS DELITOS...
2026-04-01;01;CIUDAD LINEAL;PUEBLO NUEVO;092;1;RUIDOS MOLESTOS
2026-04-01;01;CIUDAD LINEAL;VENTAS;112;1;RUIDOS MOLESTOS
2026-04-01;01;LATINA;LUCERO;092;1;RUIDOS MOLESTOS
2026-04-01;01;MORATALAZ;MARROQUINA;092;1;RUIDOS MOLESTOS
2026-04-01;01;MORATALAZ;VINATEROS;092;1;RUIDOS MOLESTOS
2026-04-01;01;PUENTE DE VALLECAS;PORTAZGO;092;1;RUIDOS MOLESTOS
2026-04-01;01;SAN BLAS - CANILLEJAS;REJAS;092;1;RUIDOS MOLESTOS
2026-04-01;01;RETIRO;PACIFICO;112;1;VIOLENCIA DE GENERO Y FAMILIAR
2026-04-01;01;RETIRO;LOS JERONIMOS;112;2;ACTUACION DE SAMUR / SUMMA
2026-04-01;01;SALAMANCA;GUINDALERA;092;3;INFORMACION AL CIUDADANO
2026-04-01;01;TETUAN;ALMENARA;092;1;INFRACCIONES AL TRAFICO Y SEGURIDAD VIAL
2026-04-01;01;USERA;ORCASUR;112;1;OTROS DELITOS...
2026-04-01;01;CARABANCHEL;BUENAVISTA;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;01;PUENTE DE VALLECAS;PORTAZGO;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;01;TETUAN;BERRUGUETE;112;1;RESOLUCION CONFLICTOS PRIVADOS
2026-04-01;01;ARGANZUELA;LEGAZPI;092;1;RUIDOS MOLESTOS
2026-04-01;01;CIUDAD LINEAL;VENTAS;092;1;RUIDOS MOLESTOS
2026-04-01;01;FUENCARRAL - EL PARDO;PILAR;092;1;RUIDOS MOLESTOS
2026-04-01;01;LATINA;ALUCHE;092;1;RUIDOS MOLESTOS
2026-04-01;01;TETUAN;BERRUGUETE;092;1;RUIDOS MOLESTOS
2026-04-01;01;PUENTE DE VALLECAS;PALOMERAS SURESTE;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;01;SAN BLAS - CANILLEJAS;ARCOS;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;01;VILLAVERDE;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;112;1;SUCESOS: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;02;MORATALAZ;PAVONES;112;1;ACTUACION DE SAMUR / SUMMA
2026-04-01;02;CHAMBERI;GAZTAMBIDE;092;1;ACTUACIONES ADVAS. EN LOCALES PUBLICOS Y DE OCIO
2026-04-01;02;RETIRO;PACIFICO;092;1;CONVIVENCIA: COLABORACIONES CON OTROS SERVICIOS
2026-04-01;02;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;RADIO;1;DELITOS CONTRA LA SEGURIDAD VIAL
